"lon","lat","RECT","cat","N","S","E","W"
-10.25,36.25,"19A1",0,36.5,36,-10,-10.5
-10.25,36.75,"19A2",0,37,36.5,-10,-10.5
-10.25,37.25,"19A3",0,37.5,37,-10,-10.5
-10.25,37.75,"19A4",0,38,37.5,-10,-10.5
-10.25,38.25,"19A5",0,38.5,38,-10,-10.5
-10.25,38.75,"19A6",0,39,38.5,-10,-10.5
-10.25,39.25,"19A7",0,39.5,39,-10,-10.5
-10.25,39.75,"19A8",0,40,39.5,-10,-10.5
-10.25,40.25,"19A9",0,40.5,40,-10,-10.5
-10.25,40.75,"19B0",0,41,40.5,-10,-10.5
-10.25,41.25,"19B1",0,41.5,41,-10,-10.5
-10.25,41.75,"19B2",0,42,41.5,-10,-10.5
-10.25,42.25,"19B3",0,42.5,42,-10,-10.5
-10.25,42.75,"19B4",0,43,42.5,-10,-10.5
-10.25,43.25,"19B5",0,43.5,43,-10,-10.5
-9.75,36.25,"18A1",0,36.5,36,-9.5,-10
-9.75,36.75,"18A2",0,37,36.5,-9.5,-10
-9.75,37.25,"18A3",0,37.5,37,-9.5,-10
-9.75,37.75,"18A4",0,38,37.5,-9.5,-10
-9.75,38.25,"18A5",0,38.5,38,-9.5,-10
-9.75,38.75,"18A6",0,39,38.5,-9.5,-10
-9.75,39.25,"18A7",0,39.5,39,-9.5,-10
-9.75,39.75,"18A8",0,40,39.5,-9.5,-10
-9.75,40.25,"18A9",0,40.5,40,-9.5,-10
-9.75,40.75,"18B0",0,41,40.5,-9.5,-10
-9.75,41.25,"18B1",0,41.5,41,-9.5,-10
-9.75,41.75,"18B2",0,41.5,-10,-9.5,-10
-9.75,42.25,"18B3",0,42.5,42,-9.5,-10
-9.75,42.75,"18B4",0,43,42.5,-9.5,-10
-9.75,43.25,"18B5",0,43.5,43,-9.5,-10
-9.25,36.25,"17A1",0,36.5,36,-9,-9.5
-9.25,36.75,"17A2",0,37,36.5,-9,-9.5
-9.25,37.25,"17A3",0,37.5,37,-9,-9.5
-9.25,37.75,"17A4",0,38,37.5,-9,-9.5
-9.25,38.25,"17A5",0,38.5,38,-9,-9.5
-9.25,38.75,"17A6",0,39,38.5,-9.5,-9
-9.25,39.25,"17A7",0,39.5,39,-9,-9.5
-9.25,39.75,"17A8",0,40,39.5,-9,-9.5
-9.25,40.25,"17A9",0,40.5,40,-9,-9.5
-9.25,40.75,"17B0",0,41,40.5,-9,-9.5
-9.25,41.25,"17B1",0,41.5,41,-9,-9.5
-9.25,41.75,"17B2",0,42,41.5,-9,-9.5
-9.25,42.25,"17B3",0,42.5,42,-9,-9.5
-9.25,42.75,"17B4",0,43,42.5,-9,-9.5
-9.25,43.25,"17B5",0,43.5,43,-9,-9.5
-8.75,37.25,"16A3",0,37.5,37,-8.5,-9
-8.75,37.75,"16A4",0,38,37.5,-8.5,-9
-8.75,38.25,"16A5",0,38.5,38,-8.5,-9
-8.75,40.25,"16A9",0,40.5,40,-8.5,-9
-8.75,40.75,"16B0",0,41,40.5,-8.5,-9
-8.75,41.25,"16B1",0,41.5,41,-8.5,-9
-8.75,41.75,"16B2",0,42,41.5,-8.5,-9
-8.75,42.25,"16B3",0,42.5,42,-8.5,-9
